Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
MNQH26_FUT_CME	Long	2026-01-16  10:02:25.312 BP	2026-01-16  10:10:03.565 EP	25722.75	25754.00	2	2	2	125.00	-111.00	125.00 F	171.00	-16.00	171.00	-16.00	100.0%	75.4%	66.8%	0.00	25765.50	25718.75	Parent order	2	0	00:07:38	1598A
MNQH26_FUT_CME	Long	2026-01-19  09:36:27.694 BP	2026-01-19  09:36:33.056 EP	25250.50	25250.50	1	1	1	0.00	-111.00	0.00 F	1.00	-3.00	1.00	-3.00	100.0%	75.0%	0.0%	0.00	25251.00	25249.00	Parent order	1	0	00:00:05	1598A
MNQH26_FUT_CME	Long	2026-01-19  09:37:15.359 BP	2026-01-19  09:38:02.692 EP	25261.00	25256.25	1	1	1	-9.50	-120.50	-9.50 F	6.00	-11.50	6.00	-11.50	100.0%	11.4%	-54.3%	0.00	25264.00	25255.25	Parent order	1	0	00:00:47	1598A
MNQH26_FUT_CME	Long	2026-01-19  09:40:27.202 BP	2026-01-19  09:42:53.812 EP	25252.00	25245.50	1	1	1	-13.00	-133.50	-13.00 F	16.00	-13.00	16.00	-13.00	100.0%	0.0%	-44.8%	0.00	25260.00	25245.50	Parent order	1	0	00:02:26	1598A
MNQH26_FUT_CME	Short	2026-01-19  09:45:01.375 BP	2026-01-19  09:47:52.416 EP	25243.50	25251.00	1	1	1	-15.00	-148.50	-15.00 F	14.50	-15.00	14.50	-15.00	100.0%	0.0%	-50.8%	0.00	25251.00	25236.25	Parent order	1	0	00:02:51	1598A
MNQH26_FUT_CME	Long	2026-01-19  09:51:50.937 BP	2026-01-19  09:58:52.277 EP	25273.75	25315.50	1	1	1	83.50	-65.00	83.50 F	88.50	-1.00	88.50	-1.00	100.0%	94.4%	93.3%	0.00	25318.00	25273.25	Parent order	1	0	00:07:01	1598A
MNQH26_FUT_CME	Short	2026-01-25  18:41:55.798 BP	2026-01-25  18:46:05.320	25517.50	25515.50	1	2	1	4.00	-61.00	4.00	49.00	-1.00	49.00	-1.00	100.0%	10.0%	8.0%	0.00	25518.00	25493.00	Parent order	1	1	00:04:09	1598A
MNQH26_FUT_CME	Short	2026-01-25  18:42:04.309	2026-01-25  18:46:15.168 EP	25513.75	25525.00	1	2	2	-22.50	-83.50	-18.50 F	90.50	-23.50	41.50	-22.50	6.3%	0.9%	-19.7%	0.00	25525.00	25493.00	Parent order	2	0	00:04:10	1598A
MNQH26_FUT_CME	Long	2026-01-25  18:46:39.845 BP	2026-01-25  18:52:00.261	25534.75	25534.25	1	2	1	-1.00	-84.50	-1.00	44.00	-17.00	44.00	-17.00	100.0%	26.2%	-1.6%	0.00	25556.75	25526.25	Parent order	1	1	00:05:20	1598A
MNQH26_FUT_CME	Long	2026-01-25  18:46:48.055	2026-01-25  18:52:00.261 EP	25533.50	25534.00	1	2	2	1.00	-83.50	0.00 F	90.50	-31.50	46.50	-14.50	36.4%	26.6%	0.8%	0.00	25556.75	25526.25	Parent order	2	0	00:05:12	1598A
MNQH26_FUT_CME	Long	2026-01-25  19:10:57.563 BP	2026-01-25  19:12:00.993	25586.75	25579.75	1	2	1	-14.00	-97.50	-14.00	13.50	-14.00	13.50	-14.00	100.0%	0.0%	-50.9%	0.00	25593.50	25579.75	Parent order	1	1	00:01:03	1598A
MNQH26_FUT_CME	Long	2026-01-25  19:11:06.034	2026-01-25  19:12:00.993 EP	25588.50	25579.75	1	2	2	-17.50	-115.00	-31.50 F	23.50	-31.50	10.00	-17.50	0.0%	25.5%	-31.8%	0.00	25593.50	25579.75	Parent order	2	0	00:00:54	1598A
MNQH26_FUT_CME	Short	2026-01-25  19:25:34.380 BP	2026-01-25  19:28:35.075 EP	25589.50	25603.50	1	1	1	-28.00	-143.00	-28.00 F	11.50	-28.00	11.50	-28.00	100.0%	0.0%	-70.9%	0.00	25603.50	25583.75	Parent order	1	0	00:03:00	1598A
MNQH26_FUT_CME	Long	2026-01-25  19:30:58.520 BP	2026-01-25  19:31:13.420	25616.50	25602.50	1	2	1	-28.00	-171.00	-28.00	3.00	-28.00	3.00	-28.00	100.0%	0.0%	-90.3%	0.00	25618.00	25602.50	Parent order	1	1	00:00:14	1598A
MNQH26_FUT_CME	Long	2026-01-25  19:31:02.136	2026-01-25  19:31:26.347 EP	25615.75	25601.75	1	2	2	-28.00	-199.00	-56.00 F	7.50	-56.00	4.50	-28.00	33.3%	44.1%	-44.1%	0.00	25618.00	25601.75	Parent order	2	0	00:00:24	1598A
MNQH26_FUT_CME	Long	2026-01-25  19:33:41.723 BP	2026-01-25  19:35:01.226 EP	25591.50	25583.50	2	2	2	-32.00	-231.00	-32.00 F	25.00	-32.00	25.00	-32.00	100.0%	0.0%	-56.1%	0.00	25597.75	25583.50	Parent order	2	0	00:01:19	1598A
MNQH26_FUT_CME	Long	2026-01-25  19:35:50.241 BP	2026-01-25  19:39:21.014 EP	25592.00	25578.00	2	2	2	-56.00	-287.00	-56.00 F	27.00	-56.00	27.00	-56.00	100.0%	0.0%	-67.5%	0.00	25598.75	25578.00	Parent order	2	0	00:03:30	1598A
MNQH26_FUT_CME	Long	2026-01-25  21:48:31.798 BP	2026-01-25  22:05:06.914	25604.25	25644.75	1	2	1	81.00	-206.00	81.00	83.00	-11.50	83.00	-11.50	100.0%	97.9%	85.7%	0.00	25645.75	25598.50	Parent order	2	1	00:16:35	1598A
MNQH26_FUT_CME	Long	2026-01-25  21:48:31.798	2026-01-25  22:05:06.914 EP	25604.25	25644.50	1	2	2	80.50	-125.50	161.50 F	166.00	-23.00	83.00	-11.50	100.0%	54.8%	42.6%	0.00	25645.75	25598.50	Parent order	2	0	00:16:35	1598A
MNQH26_FUT_CME	Long	2026-01-26  09:31:02.462 BP	2026-01-26  09:32:45.955 EP	25720.75	25766.00	1	1	1	90.50	-35.00	90.50 F	90.50	-10.50	90.50	-10.50	100.0%	100.0%	89.6%	0.00	25766.00	25715.50	Parent order	1	0	00:01:43	1598A
									Total: -35.00																	
